"Account","Current Stage","Amount","Sessions","Amount","Recently Seen"
"NRG","a6f38f50-8c92-4206-850d-52c478420fbb","$914,976.00","2","$914,976.00","[object Object]"
"WorkJam","276e8171-4140-4f62-8b97-26b558bc9084","$643,032.00","1","$643,032.00","[object Object]"
"Amazon","2bc211b5-bb6d-439d-b68d-a54d80dab00f","$390,000.00","7","$390,000.00","[object Object]"
"Sweetwater","276e8171-4140-4f62-8b97-26b558bc9084","$336,000.00","2","$336,000.00",""
"Clip","276e8171-4140-4f62-8b97-26b558bc9084","$313,110.00","1","$313,110.00",""
"LoDeli","027fd26e-74bb-4ffb-993d-11fbf557f1fe","$300,000.00","1","$300,000.00",""
"The Pokemon Company International","a6f38f50-8c92-4206-850d-52c478420fbb","$256,000.00","1","$256,000.00","[object Object]"
"Panorama Education","c9d876d8-7e28-4aa8-8436-fe9f75fe28cd","$251,910.00","3","$251,910.00","[object Object]"
"Fluid AI","fe2e131c-aadc-4c98-842e-4aea1d404747","$232,200.00","1","$232,200.00",""
"WellnessLiving","fe2e131c-aadc-4c98-842e-4aea1d404747","$217,630.00","1","$217,630.00","[object Object]"
"Hamburger Hochbahn AG","c9d876d8-7e28-4aa8-8436-fe9f75fe28cd","$200,000.00","1","$200,000.00","[object Object]"
"Emarketer","027fd26e-74bb-4ffb-993d-11fbf557f1fe","$135,000.00","1","$135,000.00","[object Object]"
"Slate Auto","5187b87d-3d51-4837-9279-cc337257f5b9","$128,582.00","1","$128,582.00","[object Object]"
"Chelsea Football Club","a6f38f50-8c92-4206-850d-52c478420fbb","$112,758.00","2","$112,758.00","[object Object]"
"Zenni Optical","96f6107e-468f-416c-8cc8-833cc203b2f6","$111,000.00","1","$111,000.00","[object Object]"
"KUBRA","276e8171-4140-4f62-8b97-26b558bc9084","$100,000.00","1","$100,000.00","[object Object]"
"Racing Post","c9d876d8-7e28-4aa8-8436-fe9f75fe28cd","$85,680.00","1","$85,680.00","[object Object]"
"CEGsoft","c9d876d8-7e28-4aa8-8436-fe9f75fe28cd","$85,536.00","1","$85,536.00","[object Object]"
"Adobe","7297cae9-2e62-4d62-85e3-1d7dfd2b83c6","$79,999.68","7","$79,999.68",""
"F1 Arcade","a6f38f50-8c92-4206-850d-52c478420fbb","$79,320.00","1","$79,320.00","[object Object]"
"Texas Stock Exchange","7297cae9-2e62-4d62-85e3-1d7dfd2b83c6","$78,960.00","3","$78,960.00","[object Object]"
"Redwood Software","276e8171-4140-4f62-8b97-26b558bc9084","$77,400.00","1","$77,400.00","[object Object]"
"Eesti Energia","c9d876d8-7e28-4aa8-8436-fe9f75fe28cd","$75,000.00","1","$75,000.00",""
"Verint","a6f38f50-8c92-4206-850d-52c478420fbb","$72,000.00","1","$72,000.00","[object Object]"
"ADCB","c9d876d8-7e28-4aa8-8436-fe9f75fe28cd","$69,000.00","1","$69,000.00","[object Object]"
"SnackMagic","5187b87d-3d51-4837-9279-cc337257f5b9","$68,850.00","2","$68,850.00","[object Object]"
"Lightspeed DMS","96f6107e-468f-416c-8cc8-833cc203b2f6","$68,712.00","1","$68,712.00",""
"Bonify","276e8171-4140-4f62-8b97-26b558bc9084","$65,952.00","1","$65,952.00","[object Object]"
